country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,Development_Index,Trade_Balance,Health_Impact_Ratio,segment
Cote d'Ivoire,111.0,50.6,5.3,43.3,2690.0,5.39,56.3,5.27,1220,35.73243243243243,7.300000000000004,0.047747747747747746,High Risk Country
Croatia,5.5,37.6,7.76,38.1,20100.0,0.821,76.3,1.55,13500,6122.963636363637,-0.5,1.410909090909091,Emerging Economy
Cyprus,3.6,50.2,5.97,57.5,33900.0,2.01,79.9,1.42,30800,17994.416666666668,-7.299999999999997,1.6583333333333332,Developed Nation
Czech Republic,3.4,66.0,7.88,62.9,28300.0,5.39,77.5,1.51,19800,14169.85294117647,3.1000000000000014,2.3176470588235296,Emerging Economy
Denmark,4.1,50.5,11.4,43.6,44000.0,3.22,79.5,1.87,33130,18831.58536585366,6.899999999999999,2.780487804878049,Developed Nation
Dominican Republic,34.4,22.7,6.22,33.3,11100.0,5.44,74.6,2.6,5450,483.2732558139535,-10.599999999999998,0.1808139534883721,Emerging Economy
Ecuador,25.1,27.9,8.06,32.4,9350.0,7.47,76.7,2.66,4660,561.2231075697212,-4.5,0.3211155378486056,Emerging Economy
Egypt,29.1,21.3,4.66,26.6,9860.0,10.1,70.5,3.19,2600,430.6013745704467,-5.300000000000001,0.16013745704467353,Emerging Economy
El Salvador,19.2,26.9,6.91,46.6,7300.0,2.65,74.1,2.27,2990,539.796875,-19.700000000000003,0.35989583333333336,Other
Equatorial Guinea,111.0,85.8,4.48,58.9,33700.0,24.16,60.9,5.21,17100,458.2063063063063,26.9,0.040360360360360364,High Inflation Risk
Eritrea,55.2,4.79,2.66,23.3,1420.0,11.6,61.7,4.61,482,35.574275362318836,-18.51,0.04818840579710145,Low GDP Trap
Estonia,4.5,75.1,6.03,68.7,22700.0,1.74,76.0,1.72,14600,8305.777777777777,6.3999999999999915,1.34,Emerging Economy
Fiji,24.1,57.8,4.86,63.9,7350.0,4.23,65.3,2.67,3650,459.1410788381742,-6.100000000000001,0.2016597510373444,Other
Finland,3.0,38.7,8.95,37.4,39800.0,0.351,80.0,1.87,33130,24336.666666666668,1.3000000000000043,2.983333333333333,Developed Nation
France,4.2,26.8,11.9,28.1,36900.0,1.05,81.4,2.03,33130,16693.190476190473,-1.3000000000000007,2.8333333333333335,Developed Nation
Gabon,63.7,57.7,3.5,18.9,15400.0,16.6,62.9,4.08,8750,380.1083202511774,38.800000000000004,0.054945054945054944,Emerging Economy
Gambia,80.3,23.8,5.69,42.7,1660.0,4.3,65.5,5.71,562,28.48692403486924,-18.900000000000002,0.07085927770859278,High Risk Country
Georgia,16.5,35.0,10.1,52.8,6730.0,8.55,72.8,1.92,2960,591.6848484848484,-17.799999999999997,0.6121212121212121,Other
Germany,4.2,42.3,11.6,37.1,40400.0,0.758,80.1,1.39,33130,17526.214285714286,5.199999999999996,2.761904761904762,Developed Nation
Ghana,74.7,29.5,5.22,45.9,3060.0,16.6,62.2,4.27,1310,59.33333333333333,-16.4,0.06987951807228915,High Inflation Risk
Greece,3.9,22.1,10.3,30.7,28700.0,0.673,80.4,1.48,26900,14277.025641025642,-8.599999999999998,2.6410256410256414,Emerging Economy
Grenada,14.6,23.8,5.86,49.2,11200.0,0.48,71.3,2.24,7370,1276.8013698630136,-25.400000000000002,0.40136986301369865,Emerging Economy
Guatemala,35.4,25.8,6.85,36.3,6710.0,5.14,71.3,3.38,2830,271.50564971751413,-10.499999999999996,0.19350282485875706,Other
Guinea,109.0,30.3,4.93,43.2,1190.0,16.1,58.0,5.34,648,17.394495412844037,-12.900000000000002,0.045229357798165136,High Risk Country
Guinea-Bissau,114.0,14.9,8.5,35.2,1390.0,2.97,55.6,5.05,547,17.478947368421053,-20.300000000000004,0.07456140350877193,High Risk Country
Guyana,37.6,51.4,5.38,79.1,5840.0,5.73,65.5,2.65,3040,237.9122340425532,-27.699999999999996,0.14308510638297872,Other
Haiti,142.875,15.3,6.91,64.7,1500.0,5.45,32.1,3.33,662,15.356780402449694,-49.400000000000006,0.04836395450568679,High Risk Country
Hungary,6.0,81.8,7.33,76.5,22300.0,2.33,74.5,1.25,13100,5912.416666666667,5.299999999999997,1.2216666666666667,Emerging Economy
Iceland,2.6,53.4,9.4,43.3,38800.0,5.47,82.0,2.2,33130,27696.923076923074,10.100000000000001,3.6153846153846154,Developed Nation
India,58.8,22.6,4.05,27.1,4410.0,8.98,66.2,2.6,1350,99.08503401360544,-4.5,0.06887755102040817,Low GDP Trap
Indonesia,33.3,24.3,2.61,22.4,8430.0,15.3,69.9,2.48,3110,348.6456456456457,1.9000000000000021,0.07837837837837838,Emerging Economy
Iran,19.3,24.4,5.6,19.4,17400.0,15.9,74.5,1.76,6530,1243.7564766839378,5.0,0.29015544041450775,Emerging Economy
Iraq,36.9,39.4,8.41,34.1,12700.0,16.6,67.2,4.56,4500,467.9457994579946,5.299999999999997,0.22791327913279133,Emerging Economy
Ireland,4.2,103.0,9.19,86.5,45700.0,5.39,80.4,2.05,33130,18788.190476190473,16.5,2.188095238095238,Developed Nation
Israel,4.6,35.0,7.63,32.9,29600.0,1.77,81.4,3.03,30600,13104.652173913044,2.1000000000000014,1.6586956521739131,Emerging Economy
Italy,4.0,25.2,9.53,27.2,36200.0,0.319,81.7,1.46,33130,17352.925,-2.0,2.3825,Developed Nation
Jamaica,18.1,31.3,4.81,49.6,8000.0,9.81,74.7,2.17,4680,704.6795580110497,-18.3,0.2657458563535911,Emerging Economy
Japan,3.2,15.0,9.49,13.6,35800.0,5.39,82.8,1.39,33130,21566.5,1.4000000000000004,2.9656249999999997,Developed Nation
Jordan,21.1,48.3,8.04,69.0,9470.0,8.43,75.8,3.66,3680,626.8151658767772,-20.700000000000003,0.38104265402843596,Emerging Economy
Kazakhstan,21.5,44.2,4.29,29.9,20100.0,19.5,68.4,2.6,9070,1359.925581395349,14.300000000000004,0.19953488372093023,Emerging Economy
Kenya,62.2,20.7,4.75,33.6,2480.0,2.09,62.8,4.37,967,56.42765273311897,-12.900000000000002,0.07636655948553055,Low GDP Trap
Kiribati,62.7,13.3,11.3,79.9,1730.0,1.52,60.7,3.84,1490,52.3237639553429,-66.60000000000001,0.1802232854864434,Low GDP Trap
Kuwait,10.8,66.7,2.63,30.4,51967.5,11.2,78.2,2.21,33130,7886.638888888888,36.300000000000004,0.2435185185185185,Developed Nation
Kyrgyz Republic,29.6,51.6,6.18,81.7,2790.0,10.0,68.5,3.1,880,126.30067567567566,-30.1,0.20878378378378376,Low GDP Trap
Lao,78.9,35.4,4.47,49.3,3980.0,9.2,63.8,3.15,1140,65.70088719898605,-13.899999999999999,0.05665399239543725,Health Critical
Latvia,7.8,53.7,6.68,55.1,18300.0,5.39,73.1,1.36,11300,3804.24358974359,-1.3999999999999986,0.8564102564102564,Emerging Economy
Lebanon,10.3,35.8,7.03,60.2,16300.0,0.238,79.8,1.61,8860,2450.4660194174753,-24.400000000000006,0.6825242718446601,Emerging Economy
Lesotho,99.7,39.4,11.1,101.0,2380.0,4.15,46.5,3.3,1170,36.07321965897693,-61.6,0.11133400200601805,High Risk Country
Liberia,89.3,19.1,11.8,92.6,700.0,5.47,60.8,5.02,327,12.181410974244121,-73.5,0.13213885778275478,High Risk Country
Libya,16.6,65.6,3.88,42.1,29600.0,14.2,76.1,2.41,12100,2516.6325301204815,23.499999999999993,0.23373493975903611,Emerging Economy
Lithuania,6.1,65.3,7.04,67.2,21100.0,2.38,73.2,1.5,12000,5438.229508196721,-1.9000000000000057,1.1540983606557378,Emerging Economy
Luxembourg,2.8,175.0,7.77,142.0,51967.5,3.62,81.3,1.63,33130,30421.000000000004,33.0,2.775,Developed Nation
"Macedonia, FYR",10.4,39.8,7.09,58.1,11400.0,2.04,74.0,1.47,4540,1539.8076923076922,-18.300000000000004,0.6817307692307691,Emerging Economy
Madagascar,62.2,25.0,3.77,43.0,1390.0,8.79,60.8,4.6,413,29.964630225080384,-18.0,0.06061093247588424,Low GDP Trap
Malawi,90.5,22.8,6.59,34.9,1030.0,12.1,53.1,5.31,459,17.03977900552486,-12.099999999999998,0.07281767955801105,High Risk Country
Malaysia,7.9,86.9,4.39,71.0,21100.0,7.27,74.5,2.15,9070,3828.417721518987,15.900000000000006,0.5556962025316455,Emerging Economy
Maldives,13.2,77.6,6.33,65.4,10500.0,2.88,77.9,2.23,7100,1339.2348484848487,12.199999999999989,0.47954545454545455,Emerging Economy
Mali,137.0,22.8,4.98,35.1,1870.0,4.37,59.5,6.55,708,19.251824817518248,-12.3,0.036350364963503655,High Risk Country
Malta,6.8,153.0,8.65,154.0,28300.0,3.83,80.3,1.36,21100,7276.514705882353,-1.0,1.272058823529412,Emerging Economy
Mauritania,97.4,50.7,4.41,61.2,3320.0,18.9,68.2,4.98,1200,47.10677618069815,-10.5,0.04527720739219712,High Risk Country
Mauritius,15.0,51.2,6.0,62.2,15900.0,1.13,73.4,1.57,8000,1598.2266666666667,-11.0,0.4,Emerging Economy
"Micronesia, Fed. Sts.",40.0,23.5,14.2,81.0,3340.0,3.8,65.4,3.46,2860,156.635,-57.5,0.355,Other
Moldova,17.2,39.2,11.7,78.5,3910.0,11.1,69.7,1.27,1630,326.1453488372093,-39.3,0.6802325581395349,Low GDP Trap
Mongolia,26.1,46.7,5.44,56.7,7710.0,24.16,66.2,2.64,2650,399.4712643678161,-10.0,0.20842911877394638,High Inflation Risk
Montenegro,6.8,37.0,9.11,62.7,14000.0,1.6,76.4,1.77,6680,3052.4117647058824,-25.700000000000003,1.339705882352941,Emerging Economy
Morocco,33.5,32.2,5.2,43.0,6440.0,0.976,73.5,2.58,2830,278.910447761194,-10.799999999999997,0.15522388059701492,Other
Mozambique,101.0,31.5,5.21,46.2,918.0,7.64,54.5,5.56,419,13.777227722772277,-14.700000000000003,0.05158415841584158,High Risk Country
Myanmar,64.4,0.109,1.97,0.0659,3720.0,7.04,66.8,2.41,988,74.14285714285714,0.0431,0.03059006211180124,Low GDP Trap
Namibia,56.0,47.8,6.78,60.7,8460.0,3.56,58.6,3.6,5190,244.79642857142858,-12.900000000000006,0.12107142857142858,Emerging Economy
Nepal,47.0,9.58,5.25,36.4,1990.0,15.1,68.3,2.61,592,56.389361702127665,-26.82,0.11170212765957446,High Inflation Risk
Netherlands,4.5,72.0,11.9,63.6,45500.0,0.848,80.7,1.79,33130,17491.266666666666,8.399999999999999,2.6444444444444444,Developed Nation
New Zealand,6.2,30.3,10.1,28.0,32300.0,3.73,80.9,2.17,33130,10566.274193548386,2.3000000000000007,1.629032258064516,Developed Nation
Niger,123.0,22.2,5.16,49.1,814.0,2.55,58.8,7.49,348,9.925203252032519,-26.900000000000002,0.041951219512195125,High Risk Country
Nigeria,130.0,25.3,5.07,17.4,5150.0,24.16,60.5,5.84,2330,58.003846153846155,7.900000000000002,0.039,High Inflation Risk
Norway,3.2,39.7,9.48,28.5,51967.5,5.95,81.0,1.95,33130,26618.28125,11.200000000000003,2.9625,Developed Nation
Oman,11.7,65.7,2.77,41.2,45300.0,15.6,76.1,2.9,19300,5527.871794871795,24.5,0.23675213675213677,High Inflation Risk
Pakistan,92.1,13.5,2.2,19.4,4280.0,10.9,65.3,3.85,1040,58.472312703583064,-5.899999999999999,0.0238870792616721,High Risk Country
Panama,19.7,70.0,8.1,78.2,15400.0,2.59,77.8,2.62,8080,1195.8274111675128,-8.200000000000003,0.41116751269035534,Emerging Economy
Paraguay,24.1,55.1,5.87,51.5,7290.0,6.1,74.1,2.73,3230,439.58921161825725,3.6000000000000014,0.24356846473029045,Other
Peru,20.3,27.8,5.08,23.8,9960.0,5.71,77.9,2.54,5020,741.7684729064039,4.0,0.25024630541871923,Emerging Economy
Philippines,31.9,34.8,3.61,36.6,5600.0,4.22,69.0,3.16,2130,244.48275862068968,-1.8000000000000043,0.11316614420062696,Other
Poland,6.0,40.1,7.46,42.1,21800.0,1.66,76.3,1.41,12600,5746.05,-2.0,1.2433333333333334,Emerging Economy
Portugal,3.9,29.9,11.0,37.4,27200.0,0.643,79.8,1.39,22500,12764.051282051283,-7.5,2.8205128205128207,Emerging Economy
Qatar,9.0,62.3,1.81,23.8,51967.5,6.98,79.5,2.07,33130,9464.111111111111,38.5,0.20111111111111113,Developed Nation
Romania,11.5,32.6,5.58,38.8,17800.0,3.53,73.7,1.59,8230,2269.886956521739,-6.199999999999996,0.4852173913043478,Emerging Economy
Russia,10.0,29.2,5.08,21.1,23100.0,14.2,69.2,1.57,10700,3386.9199999999996,8.099999999999998,0.508,Emerging Economy
Rwanda,63.6,12.0,10.5,30.0,1350.0,2.61,64.6,4.51,563,31.094339622641506,-18.0,0.1650943396226415,Low GDP Trap
Samoa,18.9,29.2,6.47,53.1,5400.0,1.72,71.5,4.34,3450,472.03703703703707,-23.900000000000002,0.3423280423280423,Other
Saudi Arabia,15.7,49.6,4.29,33.0,45400.0,17.2,75.1,2.96,19300,4125.802547770701,16.6,0.2732484076433121,High Inflation Risk
Senegal,66.8,24.9,5.66,40.3,2180.0,1.85,64.0,5.06,1000,48.56287425149701,-15.399999999999999,0.0847305389221557,Low GDP Trap
Serbia,7.6,32.9,10.4,47.9,12700.0,5.88,74.7,1.4,5410,2392.7236842105267,-15.0,1.368421052631579,Emerging Economy
Seychelles,14.4,93.8,3.4,108.0,20400.0,5.39,73.4,2.17,10800,2171.763888888889,-14.200000000000003,0.2361111111111111,Emerging Economy
Sierra Leone,142.875,16.8,13.1,34.5,1220.0,17.2,55.0,5.2,399,11.716535433070867,-17.7,0.09168853893263341,High Risk Country
Singapore,2.8,200.0,3.96,174.0,51967.5,5.39,82.7,1.15,33130,30421.5,26.0,1.4142857142857144,Developed Nation
Slovak Republic,7.0,76.3,8.79,77.8,25200.0,0.485,75.5,1.43,16600,5982.214285714285,-1.5,1.2557142857142856,Emerging Economy
Slovenia,3.2,64.3,9.41,62.9,28700.0,5.39,79.5,1.57,23400,16306.09375,1.3999999999999986,2.940625,Emerging Economy
Solomon Islands,28.1,49.3,8.55,81.2,1780.0,6.81,61.7,4.24,1290,111.44839857651245,-31.900000000000006,0.304270462633452,Low GDP Trap
South Africa,53.7,28.6,8.94,27.4,12000.0,6.35,54.3,2.59,7280,360.0428305400372,1.2000000000000028,0.1664804469273743,Emerging Economy
South Korea,4.1,49.4,6.93,46.2,30400.0,3.16,80.1,1.23,22100,12824.414634146342,3.1999999999999957,1.6902439024390246,Developed Nation
Spain,3.8,25.5,9.54,26.8,32500.0,0.16,81.9,1.37,30700,16653.13157894737,-1.3000000000000007,2.5105263157894737,Developed Nation
Sri Lanka,11.2,19.6,2.94,26.8,8560.0,22.8,74.4,2.2,2810,1021.8214285714286,-7.199999999999999,0.2625,Emerging Economy
St. Vincent and the Grenadines,20.7,26.9,4.47,57.1,9920.0,4.44,71.6,2.07,6230,783.6521739130435,-30.200000000000003,0.21594202898550724,Emerging Economy
Sudan,76.7,19.7,6.32,17.2,3370.0,19.6,66.3,4.88,1480,64.09778357235984,2.5,0.08239895697522816,High Inflation Risk
Suriname,24.1,52.5,7.01,38.4,14200.0,7.2,70.3,2.52,8300,936.5269709543568,14.100000000000001,0.2908713692946058,Emerging Economy
Sweden,3.0,46.2,9.63,40.7,42900.0,0.991,81.5,1.98,33130,25370.5,5.5,3.2100000000000004,Developed Nation
Switzerland,4.5,64.0,11.5,53.3,51967.5,0.317,82.2,1.52,33130,18928.82222222222,10.700000000000003,2.5555555555555554,Developed Nation
Tajikistan,52.4,14.9,5.98,58.6,2110.0,12.5,69.6,3.51,738,55.6793893129771,-43.7,0.11412213740458016,Low GDP Trap
Tanzania,71.9,18.7,6.01,29.1,2090.0,9.25,59.3,5.43,702,39.65646731571627,-10.400000000000002,0.08358831710709318,Low GDP Trap
Thailand,14.9,66.5,3.88,60.8,13500.0,4.08,76.6,1.55,5080,1252.1208053691273,5.700000000000003,0.26040268456375837,Emerging Economy
Timor-Leste,62.6,2.2,9.12,27.8,1850.0,24.16,71.1,6.23,3600,88.1964856230032,-25.6,0.14568690095846643,High Inflation Risk
Togo,90.3,40.2,7.65,57.3,1210.0,1.18,58.7,4.87,488,19.45404208194906,-17.099999999999994,0.08471760797342193,High Risk Country
Tonga,17.4,12.4,5.07,60.3,4980.0,3.68,69.9,3.91,3550,494.2471264367816,-47.9,0.2913793103448276,Other
Tunisia,17.4,50.5,6.21,55.3,10400.0,3.82,76.9,2.14,4140,840.051724137931,-4.799999999999997,0.356896551724138,Emerging Economy
Turkey,19.1,20.4,6.74,25.5,18000.0,7.01,78.2,2.15,10700,1506.7120418848167,-5.100000000000001,0.35287958115183243,Emerging Economy
Turkmenistan,62.0,76.3,2.5,44.5,9940.0,2.31,67.9,2.83,4440,233.03064516129032,31.799999999999997,0.04032258064516129,Emerging Economy
Uganda,81.0,17.1,9.01,28.6,1540.0,10.6,56.8,6.15,595,27.05925925925926,-11.5,0.11123456790123457,High Risk Country
Ukraine,11.7,47.1,7.72,51.1,7820.0,13.4,70.4,1.44,2970,928.2393162393163,-4.0,0.6598290598290598,Other
United Arab Emirates,8.6,77.7,3.66,63.6,51967.5,12.5,76.5,1.87,33130,9903.953488372093,14.100000000000001,0.42558139534883727,Other
United Kingdom,5.2,28.2,9.64,30.8,36200.0,1.57,80.3,1.92,33130,13348.134615384615,-2.6000000000000014,1.853846153846154,Developed Nation
United States,7.3,12.4,17.9,15.8,49400.0,1.22,78.7,1.93,33130,11316.260273972603,-3.4000000000000004,2.452054794520548,Developed Nation
Uruguay,10.6,26.3,8.35,25.4,17100.0,4.91,76.4,2.08,11900,2743.0566037735853,0.9000000000000021,0.7877358490566038,Emerging Economy
Uzbekistan,36.3,31.7,5.81,28.5,4240.0,16.5,68.8,2.34,1380,156.7162534435262,3.1999999999999993,0.16005509641873278,High Inflation Risk
Vanuatu,29.2,46.6,5.25,52.7,2950.0,2.62,63.0,3.5,2970,204.89726027397262,-6.100000000000001,0.1797945205479452,Other
Venezuela,17.1,28.5,4.91,17.6,16500.0,24.16,75.4,2.47,13500,1758.795321637427,10.899999999999999,0.2871345029239766,Emerging Economy
Vietnam,23.3,72.0,6.84,80.2,4490.0,12.1,73.1,1.95,1310,252.06437768240343,-8.200000000000003,0.2935622317596566,Low GDP Trap
Yemen,56.3,30.0,5.18,34.4,4480.0,23.6,67.5,4.67,1310,104.04085257548846,-4.399999999999999,0.09200710479573712,High Inflation Risk
Zambia,83.1,37.0,5.89,30.9,3280.0,14.0,52.0,5.4,1460,57.66546329723226,6.100000000000001,0.07087845968712395,High Risk Country
